Date,Consumer Price Index_cleaned,Effective Funds Rate DFF_cleaned,GDP growth_cleaned,Historical Gold Prices_cleaned,M2SL_cleaned,T10Y2Y_cleaned,UMCSENT_cleaned,Unemployment Rate_cleaned,United States uncertainty index_cleaned,US Dollar Index (DXY)_cleaned
1985-04-10,0.0084918478260753,8.94,6.569230769230769,1.29990714948931,0.0269374935521815,1.27,93.7090909090909,7.268181818181818,241.78,151.490005
1985-04-11,0.0084911267725251,8.81,6.607692307692307,1.52765047357164,0.0269302392207571,1.3,93.58181818181818,7.263636363636364,36.5,148.820007
1985-04-12,0.0084904058413881,8.49,6.646153846153847,-0.7222389407162355,0.0269229887954525,1.3,93.45454545454544,7.259090909090909,40.73,148.229996
1985-04-15,0.0084896850326865,8.57,6.684615384615385,1.3337374962109738,0.0269157422731813,1.28,93.32727272727271,7.254545454545455,54.45,146.850006
1985-04-16,0.0084889643463315,8.3,6.723076923076923,-1.1367035596769437,0.0269084996507462,1.39,93.2,7.25,47.28,146.789993
1985-04-17,0.0084882437823674,8.09,6.7615384615384615,-0.9379727685325356,0.0269012609250607,1.36,93.07272727272726,7.245454545454545,198.53,146.979996
1985-04-18,0.0084875233407055,7.84,6.8,0.7330482590103937,0.0268940260929273,1.4,92.94545454545454,7.240909090909091,36.75,144.830002
1985-04-19,0.0084868030213014,7.6,6.838461538461538,-0.8489993935718698,0.0268867951512374,1.35,92.8181818181818,7.236363636363636,41.3,144.830002
1985-04-22,0.0084860828241772,7.52,6.876923076923077,0.244648318042806,0.0268795680968159,1.41,92.69090909090907,7.231818181818181,166.8,146.360001
1985-04-23,0.0084853627492442,7.88,6.915384615384616,-0.3355704697986628,0.0268723449265539,1.37,92.56363636363636,7.227272727272727,93.22,148.710007
1985-04-24,0.0084846427965468,7.81,6.953846153846154,-1.4386287113559826,0.0268651256373431,1.44,92.43636363636364,7.222727272727273,81.75,150.440002
1985-04-25,0.008483922965996,8.23,6.992307692307692,0.1552795031055875,0.026857910226008,1.47,92.30909090909093,7.218181818181819,74.81,151.820007
1985-04-26,0.0084832032575477,8.14,7.030769230769231,0.3100775193798366,0.0268506986894623,1.47,92.18181818181816,7.213636363636364,79.59,151.009995
